test,candidate,status
U1_GLOBAL_PHASE_OFFSET,PHASE_V3_B_U1_LOCAL_HOLONOMY,PASS_BY_CONSTRUCTION_AND_UNIT_TEST
U1_ARBITRARY_LOCAL_GAUGE,PHASE_V3_B_U1_LOCAL_HOLONOMY,FAIL_PURE_VERTEX_LINK_WINDING_NOT_ARBITRARY_LOCAL_GAUGE_INVARIANT
VECTOR_PROPER_ROTATION,PHASE_V3_A_SIGNED_VECTOR_BASELINE,PASS_SYN_17
VECTOR_REFLECTION_SIGN,PHASE_V3_A_SIGNED_VECTOR_BASELINE,PASS_SYN_16
O2_CONJUGATION_PARITY,PHASE_V3_C_O2_PARITY_MONODROMY,PASS
TEMPORAL_TIME_REVERSAL,PHASE_V3_D_TEMPORAL_CROSS_SPECTRUM,PASS_SYN_18_WITH_DECLARED_CONVENTION
