fixture_id,measurement_noise,coordinate_or_edge_shuffle,orientation_rotation,mask_dropout,resolution_reduction
SYN-01,0.012943763193250114,0.27162454923922646,0.006504665439359766,0.049993738015521136,5.851254305917555
SYN-02,0.08001922072103901,0.8767316023176377,0.009185265916137051,0.0865090876068135,0.06674541347584237
SYN-03,0.01248692030831319,0.8120207030418907,1.469772977613134e-16,0.0921062201268462,0.23731414909079365
SYN-04,0.004852597320917435,0.892616033327434,0.00017693639551857483,0.09483537265239342,0.08253350268969509
SYN-05,0.003344044745550268,0.8983510486496191,1.1167896256805677e-16,0.14270250109496946,0.008348137774080798
SYN-06,0.00217084446212457,0.9078722036759941,0.0022113654453936966,0.15546868047115503,0.00883411064003577
SYN-07,0.05624709091599982,0.8952071117815967,0.001241835689614264,0.5331941294061262,0.037875435380143846
SYN-08,0.08704799316020123,0.8956167378537628,1.5995672266635372e-08,0.09302262672983547,0.013927806477268729
SYN-09,0.009394971225718191,0.9227870002503968,0.00032417422278383705,0.09178768780841151,0.2347285097746469
SYN-10,0.03188675631954103,0.9207879123695312,0.0004028575549968601,0.49387320059329815,0.00938288415629513
SYN-11,0.07196057923659772,0.8896048103160012,0.0049761553822507305,0.1257819084998158,0.06569986559682695
SYN-12,0.024456361379175097,0.8834603665871438,0.00170370936382308,0.09247935847429076,0.040142457890674645
SYN-13,0.005218502760657988,0.9036660281053037,0.002716543367522917,0.0858693487372914,0.05541896382570708
SYN-14,0.005554041278058355,0.8956045937256847,0.0004495766303772849,0.09308815960558724,0.06643740058367331
SYN-15,0.0119462671043791,0.807470033281007,0.0015952786893724828,0.09214837934177027,0.2404119911059783
SYN-16,0.02476619646658237,0.8948691346690831,1.2394654528978456e-16,0.0985387682067333,0.07008222022825414
SYN-17,0.08652355324240017,2.2997920075962357,4.3768410452269105e-15,0.17048698162454065,0.15478164346137363
SYN-18,0.07891029331377675,0.41467926376552233,1.260169881285015e-15,0.109631433016876,0.17228816280891607
SYN-19,0.00597872653506832,0.9038270277513113,0.0001768738046915437,0.09686368963251063,0.08013660175921124
SYN-20,0.003825678425280938,0.9032653408877296,0.00017778184018882412,0.08739504347174792,0.0
SYN-21,0.005673712554930849,0.9071626494685634,0.0001722518315238968,0.10094932704925132,0.07768059012945691
SYN-22,0.009234543672593066,0.8962540342154715,0.001225226835234833,0.11149958506431444,0.09383070984168951
SYN-23,0.004726970089968877,0.8585134430376213,0.0007440309691433175,0.0841048272217014,0.027015609580225516
SYN-24,0.004371416812969289,0.9040669265725123,0.001601893445113943,0.08888126240350616,0.0
SYN-25,0.001816012809793155,0.8770652675733259,0.0,0.07201315495693067,1.0
