fixture,phi,N,sample_length,missingness,parent_count,parent_correlation,replicates,upper_tail_detection_rate,sign_error_rate,median_null_minus_observed,status
ar1,0.6,6,1461,fixture-specific,12,0.0,24,0.0,0.9583333333333334,0.0931164458903844,FROZEN_FORENSIC_CALIBRATION
ar1,0.6,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.23242218717208063,FROZEN_FORENSIC_CALIBRATION
ar1,0.6,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.26569068974782173,FROZEN_FORENSIC_CALIBRATION
ar1,0.8,6,1461,fixture-specific,12,0.0,24,0.0,0.9583333333333334,0.050929830541629806,FROZEN_FORENSIC_CALIBRATION
ar1,0.8,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.22277196526546092,FROZEN_FORENSIC_CALIBRATION
ar1,0.8,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.32091334075819755,FROZEN_FORENSIC_CALIBRATION
ar1,0.92,6,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.625,0.00615095168656099,FROZEN_FORENSIC_CALIBRATION
ar1,0.92,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.08872544736548627,FROZEN_FORENSIC_CALIBRATION
ar1,0.92,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.19701472640960918,FROZEN_FORENSIC_CALIBRATION
ar1,0.95,6,1461,fixture-specific,12,0.0,24,0.2916666666666667,0.2916666666666667,-0.007706937072291031,FROZEN_FORENSIC_CALIBRATION
ar1,0.95,10,1461,fixture-specific,12,0.0,24,0.0,0.875,0.02676277984967973,FROZEN_FORENSIC_CALIBRATION
ar1,0.95,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.130933524894205,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.9,6,1461,fixture-specific,12,0.0,24,0.0,0.08333333333333333,0.07134290993955358,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.9,10,1461,fixture-specific,12,0.0,24,0.125,0.7916666666666666,-0.0620218985543847,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.9,14,1461,fixture-specific,12,0.0,24,0.5416666666666666,0.9583333333333334,-0.17916525641773326,FROZEN_FORENSIC_CALIBRATION
