station,condition,N,observed_score,null_median,observed_minus_null_median,signed_robust_z,absolute_robust_z,upper_tail_local_p,lower_tail_local_p,two_sided_local_p,rank_among_128_ascending,null_quantile,effect_direction,status
Aotizhongxin,calibration_scale_105,14,0.09895936607589542,0.2915895589579258,-0.1926301928820304,-2.8440480200120835,2.8440480200120835,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,6,0.04168660170599663,0.19178518328836838,-0.15009858158237174,-2.8195237686526418,2.8195237686526418,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,7,0.048773816558497864,0.2088503818007139,-0.16007656524221606,-2.941170130370984,2.941170130370984,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,8,0.08514782054935041,0.2323965629204009,-0.14724874237105048,-2.211855050665235,2.211855050665235,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,9,0.08839108847715628,0.23471245262688722,-0.14632136414973096,-2.263832171039559,2.263832171039559,0.984375,0.0234375,0.046875,3,0.01953125,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,10,0.028051959803081467,0.25866456902442686,-0.23061260922134538,-3.379838472513323,3.379838472513323,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,11,0.0032899207913693607,0.2718600274863953,-0.26857010669502596,-3.969303983560134,3.969303983560134,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,12,0.06824673803179253,0.2836649239097953,-0.21541818587800277,-3.4255656099003886,3.4255656099003886,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,13,0.037345865283947774,0.2940452237641093,-0.2566993584801615,-3.543070554114525,3.543070554114525,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,14,0.09935794896663552,0.2889962044626955,-0.18963825549606,-2.7409576607326427,2.7409576607326427,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,6,0.0444032968194584,0.19498170956048202,-0.15057841274102363,-2.892255278189677,2.892255278189677,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
