station,N,observed_closure_error,null_median_closure_error,observed_minus_null_median,closure_local_p_less_equal,observed_winner,status
Aotizhongxin,4,1.4549327384471626,1.3799496044924497,0.0749831339547129,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,5,1.425742317103347,1.3814444351652724,0.0442978819380746,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,6,1.4126249437117562,1.3774004877891608,0.03522445592259538,0.9375,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,1.4034939173515486,1.3787820521061263,0.02471186524542235,0.8515625,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,8,1.3845388447388112,1.386536507475764,-0.0019976627369528988,0.4765625,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,9,1.3806425798184407,1.381165850554059,-0.0005232707356181976,0.5,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,10,1.3921679674222156,1.3807685609655829,0.011399406456632732,0.671875,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,11,1.3939288137290942,1.383317692480521,0.010611121248573108,0.6875,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,12,1.4043533668105648,1.383260916688508,0.02109245012205685,0.8984375,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,13,1.405040760514547,1.3790546313289715,0.025986129185575413,0.8984375,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,14,1.3787576617940094,1.3823457595259734,-0.0035880977319640017,0.3984375,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,1.3755755033564812,1.3869892557927217,-0.011413752436240543,0.296875,True,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,16,1.42585021901847,1.3887119808528705,0.03713823816559958,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,17,1.4337125117778005,1.3857865439338697,0.04792596784393077,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,18,1.4322388258484355,1.3874810159910755,0.04475780985736,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,19,1.407065172356508,1.3889124573907472,0.018152714965760763,0.8828125,False,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,20,1.4145644938568789,1.3876633385208363,0.026901155336042537,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,4,1.4501263738751062,1.3788942928496877,0.07123208102541856,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,5,1.414799796382606,1.3791094569102775,0.03569033947232847,0.9765625,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,6,1.4144950261211315,1.3768443014221716,0.037650724698959914,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,1.413548934081596,1.3814691137924133,0.03207982028918277,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,1.3984295843960075,1.3825960102495134,0.01583357414649411,0.7734375,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,9,1.3848381967824315,1.3822315823994127,0.0026066143830187904,0.578125,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,10,1.387913392593618,1.3842483419323373,0.0036650506612807554,0.59375,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,11,1.3857337319665168,1.3849730557131898,0.0007606762533269862,0.515625,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,12,1.3774542661403404,1.3839555410757487,-0.006501274935408308,0.3671875,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,13,1.3848541197585775,1.3894841971290148,-0.004630077370437302,0.4140625,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,1.3744509710762247,1.3811617211003715,-0.006710750024146783,0.3046875,True,POST_HOC_DIAGNOSTIC_ONLY
Changping,15,1.3887065334144928,1.3866683230502577,0.002038210364235127,0.5390625,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,16,1.4281322899756996,1.3909609995539447,0.03717129042175493,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,17,1.4311585342375215,1.3861866979214494,0.044971836316072045,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,18,1.4257011625984728,1.3927601371363556,0.03294102546211719,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,19,1.4170385283497797,1.394893183223187,0.02214534512659272,0.8671875,False,POST_HOC_DIAGNOSTIC_ONLY
Changping,20,1.4174995241018609,1.3903590353661328,0.027140488735728052,0.9296875,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,4,1.4373595796274485,1.372637114081847,0.06472246554560157,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,5,1.4137623926721077,1.3736798564322923,0.04008253623981539,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,6,1.4050073734991573,1.3712199241254763,0.033787449373680944,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,1.4046755825000903,1.373866485002161,0.030809097497929372,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,1.38779197699677,1.37643117999416,0.011360797002609946,0.7578125,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,1.3815388573011598,1.3749060607747157,0.006632796526444107,0.625,True,POST_HOC_DIAGNOSTIC_ONLY
Dingling,10,1.3922614440172467,1.37494459103467,0.01731685298257668,0.8359375,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,11,1.4018197531130085,1.380185397577619,0.021634355535389505,0.8828125,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,12,1.3987541181686087,1.3808017937143602,0.017952324454248547,0.8515625,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,13,1.4004678049678672,1.382705427381202,0.0177623775866651,0.8515625,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,14,1.3913905097232833,1.3825497541839114,0.008840755539371914,0.671875,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,15,1.3895535508244423,1.386433874019665,0.003119676804777427,0.5390625,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,16,1.4180182331212463,1.3882271199280838,0.02979111319316252,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,17,1.4330705040888856,1.3856413240835148,0.047429180005370775,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,18,1.422879941898543,1.385244599271657,0.03763534262688584,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,19,1.401898318316763,1.3850519815947913,0.016846336721971777,0.75,False,POST_HOC_DIAGNOSTIC_ONLY
Dingling,20,1.4028069073004021,1.3920905363633922,0.010716370937009945,0.75,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,4,1.427798134759238,1.3643191768710419,0.06347895788819602,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,5,1.405350855756365,1.3698060309574076,0.035544824798957375,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,6,1.3964929918991118,1.3693515326284647,0.02714145927064715,0.890625,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,7,1.3922340382621055,1.3682591567480926,0.023974881514012836,0.875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,1.365963634080235,1.3683173330846845,-0.002353699004449483,0.4453125,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,1.3504490409970098,1.3699610131375792,-0.019511972140569434,0.1640625,True,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,10,1.3773743000811525,1.3729286469075934,0.00444565317355905,0.59375,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,11,1.3844321463298126,1.3752842957324027,0.009147850597409857,0.6796875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,12,1.387554643182456,1.3770404214062177,0.010514221776238175,0.71875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,13,1.4041296791228672,1.382645187980846,0.021484491142021334,0.875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,14,1.3809316630920652,1.3735729753628074,0.00735868772925774,0.6640625,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,15,1.3577022169928952,1.3776468980467096,-0.019944681053814417,0.125,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,16,1.398044594470419,1.3775225426064104,0.020522051864008573,0.8671875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,17,1.4137946457279464,1.379840924010625,0.03395372171732136,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,18,1.4144738696613834,1.3814906984703674,0.032983171191016014,0.9296875,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,19,1.39736929385489,1.382332509991317,0.015036783863572989,0.7734375,False,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,20,1.4028754449550003,1.3819854030801881,0.020890041874812137,0.890625,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,4,1.4488990096130492,1.3761455438593049,0.0727534657537443,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
