null_family,station,N,observed_score,null_median,null_minus_observed,upper_tail_local_p_32,lower_tail_local_p_32,status
circular_shift,Guanyuan,7,0.10990165233674856,0.09332443168339333,-0.016577220653355235,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,8,0.1793705176113494,0.10636636091524866,-0.07300415669610073,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,9,0.12954156807443548,0.11426154548036753,-0.015280022594067952,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,10,0.035769713168165934,0.08972135343502738,0.053951640266861445,0.9375,0.09375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,11,0.023503332655450945,0.08339131257436465,0.0598879799189137,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,12,0.13058003202612725,0.07555167608466877,-0.05502835594145848,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,13,0.0706912133762627,0.11205819280510507,0.04136697942884236,0.8125,0.21875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Guanyuan,14,0.0818128734731828,0.10604586666957647,0.02423299319639366,0.71875,0.3125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,6,0.06794184630283902,0.09392059205175875,0.02597874574891973,0.625,0.40625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,7,0.12020492394111468,0.083300100046137,-0.03690482389497768,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,8,0.1453275734251666,0.09823034360205068,-0.04709722982311593,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,9,0.12927426750101376,0.08315329454466953,-0.04612097295634422,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,10,0.023847573073487626,0.09307119606203877,0.06922362298855114,1.0,0.03125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,11,0.01004035476437593,0.08019834566450906,0.07015799090013314,0.9375,0.09375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,12,0.09623984265322404,0.05721113610571138,-0.03902870654751266,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,13,0.029637451603203507,0.05793268300595019,0.028295231402746684,0.84375,0.1875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Gucheng,14,0.043280189949557096,0.01534092316957594,-0.027939266779981157,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,6,0.10039049929906779,0.08066614338205062,-0.01972435591701717,0.4375,0.59375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,7,0.08533629193618253,0.09393738000328072,0.008601088067098195,0.53125,0.5,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,8,0.13922686934910863,0.11591590388811115,-0.02331096546099748,0.125,0.90625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,9,0.10130858810339888,0.08239130998572938,-0.018917278117669495,0.4375,0.59375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,10,0.08849247246133661,0.12976700938916888,0.04127453692783227,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,11,0.09576735334987535,0.11166244161559565,0.015895088265720295,0.71875,0.3125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,12,0.09151280278603832,0.11378993964100391,0.022277136854965587,0.78125,0.25,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,13,0.0700409282665393,0.10637870082395008,0.036337772557410775,0.8125,0.21875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Huairou,14,0.07692783986801553,0.10620343137661872,0.02927559150860319,0.78125,0.25,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,6,0.05756190939749703,0.07875460816761885,0.021192698770121823,0.8125,0.21875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,7,0.11941506288653891,0.1143799749898883,-0.0050350878966506085,0.46875,0.5625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,8,0.12410116029778709,0.11614042032587195,-0.00796073997191514,0.34375,0.6875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,9,0.14323081793730233,0.13301521021626572,-0.010215607721036607,0.34375,0.6875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,10,0.04078388681369541,0.12922439795135549,0.08844051113766008,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,11,0.04105844855672605,0.10174016279282044,0.06068171423609439,1.0,0.03125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,12,0.16557810254838043,0.12407957313428206,-0.04149852941409837,0.15625,0.875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,13,0.098355731562084,0.12419981437107108,0.025844082808987076,0.6875,0.34375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Nongzhanguan,14,0.10506524595771766,0.09431588836140713,-0.01074935759631053,0.40625,0.625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,6,0.11449300468406301,0.10247005096877901,-0.012022953715284002,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,7,0.07999376617622049,0.09762247016091728,0.017628703984696792,0.75,0.28125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,8,0.15359065216984344,0.1279690170979541,-0.02562163507188933,0.4375,0.59375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,9,0.13799885228388803,0.14186715471557454,0.00386830243168651,0.53125,0.5,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,10,0.11520307335934471,0.1370913180102553,0.021888244650910577,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,11,0.08723598096341419,0.14545984015262964,0.05822385918921545,0.9375,0.09375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,12,0.12777721313566448,0.13891468649639221,0.011137473360727734,0.6875,0.34375,POST_HOC_DIAGNOSTIC_ONLY
