station,N,phase,year_month_mean_variance_observed,year_month_mean_variance_null_median,status,block_mean_variance_observed,block_mean_variance_null_median,block_mean_variance_null_minus_observed,adjacent_block_covariance_observed,adjacent_block_covariance_null_median,adjacent_block_covariance_null_minus_observed,adjacent_block_correlation_observed,adjacent_block_correlation_null_median,adjacent_block_correlation_null_minus_observed,within_block_variance_observed,within_block_variance_null_median,within_block_variance_null_minus_observed,between_block_variance_observed,between_block_variance_null_median,between_block_variance_null_minus_observed,extreme_event_adjacency_observed,extreme_event_adjacency_null_median,extreme_event_adjacency_null_minus_observed,mean_run_length_observed,mean_run_length_null_median,mean_run_length_null_minus_observed,mean_reversion_rate_observed,mean_reversion_rate_null_median,mean_reversion_rate_null_minus_observed,month_boundary_crossings_observed,month_boundary_crossings_null_median,month_boundary_crossings_null_minus_observed
Aotizhongxin,6,0,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.2390213420640096,0.16765468414511106,-0.07136665791889854,0.010118582069639143,0.032635388807574967,0.022516806737935824,0.04239856567027825,0.1919546849344719,0.14955611926419365,0.5742207791344655,0.644159179107086,0.06993839997262052,0.2390213420640096,0.16765468414511106,-0.07136665791889854,0.004329004329004329,0.0,-0.004329004329004329,1.982905982905983,2.3009708737864076,0.31806489088042467,0.7619047619047619,0.6776859504132231,-0.08421881149153876,39,39.0,0.0
Aotizhongxin,6,1,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.23203410592731,0.16709027829528852,-0.06494382763202147,0.02128867759529591,0.03159105658146397,0.010302378986168058,0.0930550512791227,0.1894265221555664,0.09637147087644371,0.576075457706119,0.6441839879533154,0.06810853024719643,0.23203410592731,0.16709027829528852,-0.06494382763202147,0.004273504273504274,0.0,-0.004273504273504274,1.8650793650793651,2.2815533980582523,0.4164740329788872,0.782051282051282,0.6776859504132231,-0.10436533163805894,40,40.0,0.0
Aotizhongxin,6,2,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.2450078850143696,0.16692817248380368,-0.07807971253056592,0.023441877038798357,0.03199798464774574,0.008556107608947382,0.09438075495486077,0.19876476919131,0.10438401423644923,0.5693455570448706,0.6439297123530904,0.07458415530821982,0.2450078850143696,0.16692817248380368,-0.07807971253056592,0.004291845493562232,0.0,-0.004291845493562232,1.8870967741935485,2.2788461538461537,0.39174937965260526,0.7854077253218884,0.6818181818181818,-0.10358954350370664,40,40.0,0.0
Aotizhongxin,6,3,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.2507531492014736,0.16711007902389274,-0.08364307017758088,-0.005505888439874889,0.031906256383872615,0.0374121448237475,-0.021966724179291606,0.1898830262956716,0.2118497504749632,0.5545236296944678,0.6431106504496255,0.08858702075515767,0.2507531492014736,0.16711007902389274,-0.08364307017758088,0.0,0.0,0.0,2.0625,2.269230769230769,0.20673076923076916,0.7565217391304347,0.6859504132231405,-0.0705713259072942,40,40.0,0.0
Aotizhongxin,6,4,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.2487461855433772,0.16786922114120797,-0.08087696440216924,0.0039487222712043454,0.03173041690757961,0.027781694636375268,0.01579082400569326,0.19042685792139563,0.17463603391570237,0.5638293516820548,0.6412936435085105,0.07746429182645564,0.2487461855433772,0.16786922114120797,-0.08087696440216924,0.004347826086956522,0.0,-0.004347826086956522,1.9411764705882353,2.284313725490196,0.3431372549019607,0.7739130434782608,0.6804979253112033,-0.0934151181670575,39,39.0,0.0
Aotizhongxin,6,5,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.23922356633357236,0.16682107131131452,-0.07240249502225785,0.010933315086222384,0.0326699787257192,0.02173666363949682,0.045556007792703225,0.1967213399883703,0.15116533219566708,0.5702375574356269,0.6421492522160974,0.07191169478047055,0.23922356633357236,0.16682107131131452,-0.07240249502225785,0.004329004329004329,0.0,-0.004329004329004329,1.9333333333333333,2.29126213592233,0.3579288025889966,0.8051948051948052,0.6804979253112033,-0.1246968798836019,37,37.0,0.0
Aotizhongxin,7,0,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.19623947321690358,0.14886596548400077,-0.0473735077329028,0.010029282968418467,0.031130441644911792,0.021101158676493325,0.05121368162670766,0.21077590053761316,0.1595622189109055,0.6147234865928358,0.6610166341748206,0.04629314758198477,0.19623947321690358,0.14886596548400077,-0.0473735077329028,0.0,0.0,0.0,2.0,2.32183908045977,0.32183908045977017,0.7969543147208121,0.6714975845410628,-0.12545673017974934,41,41.0,0.0
Aotizhongxin,7,1,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.21093143435774497,0.14870710834238937,-0.0622243260153556,0.011192377178832546,0.031632401046102744,0.020440023867270198,0.053221212382327465,0.21710171250320529,0.16388050012087782,0.5959054458314935,0.6627555003046434,0.06685005447314984,0.21093143435774497,0.14870710834238937,-0.0622243260153556,0.0,0.0,0.0,1.912621359223301,2.3411764705882354,0.4285551113649344,0.7806122448979592,0.6666666666666666,-0.11394557823129259,41,41.0,0.0
Aotizhongxin,7,2,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.22550116128160563,0.1482809789288865,-0.07722018235271913,0.010421225317440405,0.03058384683035395,0.020162621512913544,0.04590058458245013,0.2120584982497371,0.16615791366728697,0.5862270075781446,0.6626431812770329,0.07641617369888831,0.22550116128160563,0.1482809789288865,-0.07722018235271913,0.0,0.0,0.0,2.106382978723404,2.3488372093023258,0.24245423057892168,0.7563451776649747,0.6666666666666666,-0.08967851099830804,39,39.0,0.0
Aotizhongxin,7,3,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.22714257450594733,0.14740666534290325,-0.07973590916304407,0.005134732399897414,0.02982218123623248,0.024687448836335068,0.02261303118165763,0.20551601882674933,0.1829029876450917,0.5824260799893887,0.6642816787858262,0.08185559879643756,0.22714257450594733,0.14740666534290325,-0.07973590916304407,0.005128205128205128,0.0,-0.005128205128205128,1.9215686274509804,2.32183908045977,0.4002704530087897,0.7897435897435897,0.6714975845410628,-0.11824600520252693,40,40.0,0.0
