station,left_condition,right_condition,overlap_days,canonical_rmse,canonical_correlation,effectively_equivalent
Dingling,baseline,outage_24h_90d,1413,0.009904954187141265,0.9999321163882907,False
Dingling,baseline,day_order_swap_010,1428,0.23220295630743237,0.9614207570430079,False
Dingling,baseline,cyclic_adjacency,1430,0.0,1.0,True
Dingling,calibration_scale_095,calibration_scale_105,1430,0.002056795155359345,0.9999982128630511,True
Dingling,calibration_scale_095,sensor_noise_001,1430,0.01191480290050672,0.9999083428232162,False
Dingling,calibration_scale_095,outage_6h_30d,1422,0.04480569380033569,0.9985700303167095,False
Dingling,calibration_scale_095,outage_24h_90d,1413,0.00994363939490426,0.9999336960336229,False
Dingling,calibration_scale_095,day_order_swap_010,1428,0.23223111334794497,0.9614247219346828,False
Dingling,calibration_scale_095,cyclic_adjacency,1430,0.0010818872724180253,0.999999511336822,True
Dingling,calibration_scale_105,sensor_noise_001,1430,0.011953556744172368,0.9999054281617815,False
Dingling,calibration_scale_105,outage_6h_30d,1422,0.04489611204999584,0.9985623584280953,False
Dingling,calibration_scale_105,outage_24h_90d,1413,0.010006608536219397,0.9999298222401456,False
Dingling,calibration_scale_105,day_order_swap_010,1428,0.23231987184799316,0.9614163403238374,False
Dingling,calibration_scale_105,cyclic_adjacency,1430,0.0012092014706264467,0.9999995932156439,True
Dingling,sensor_noise_001,outage_6h_30d,1422,0.045901068828734834,0.9985038258640061,False
Dingling,sensor_noise_001,outage_24h_90d,1413,0.014395558475557953,0.9998644143232183,False
Dingling,sensor_noise_001,day_order_swap_010,1428,0.2327965822324095,0.9614115621308116,False
Dingling,sensor_noise_001,cyclic_adjacency,1430,0.012041036387775341,0.9999072653632689,False
Dingling,outage_6h_30d,outage_24h_90d,1407,0.025533934450005714,0.9995383693104046,False
Dingling,outage_6h_30d,day_order_swap_010,1420,0.2371534431621369,0.959739173504334,False
Dingling,outage_6h_30d,cyclic_adjacency,1422,0.04484885303825772,0.9985664621051114,False
Dingling,outage_24h_90d,day_order_swap_010,1411,0.2336451282759502,0.9607147023779831,False
Dingling,outage_24h_90d,cyclic_adjacency,1413,0.009904954187141265,0.9999321163882907,False
Dingling,day_order_swap_010,cyclic_adjacency,1428,0.23220295630743237,0.9614207570430079,False
Dongsi,baseline,calibration_scale_095,1428,0.0014429522847777963,0.9999994551423163,True
Dongsi,baseline,calibration_scale_105,1428,0.0013427726008123642,0.9999995444541887,True
Dongsi,baseline,sensor_noise_001,1428,0.015804576818548383,0.9998645485759833,False
Dongsi,baseline,outage_6h_30d,1420,0.050772895092219356,0.9985957798512771,False
Dongsi,baseline,outage_24h_90d,1411,0.005798616360370987,0.9999812493438517,False
Dongsi,baseline,day_order_swap_010,1426,0.3148902884340402,0.9445976142940143,False
Dongsi,baseline,cyclic_adjacency,1428,0.0,1.0,True
Dongsi,calibration_scale_095,calibration_scale_105,1428,0.002785558022744577,0.9999980031991259,True
Dongsi,calibration_scale_095,sensor_noise_001,1428,0.015738856710481603,0.9998689189153488,False
Dongsi,calibration_scale_095,outage_6h_30d,1420,0.0505307072567812,0.9986005460145497,False
Dongsi,calibration_scale_095,outage_24h_90d,1411,0.005970328573861947,0.9999807292860384,False
Dongsi,calibration_scale_095,day_order_swap_010,1426,0.3147816765528477,0.9445874340536272,False
Dongsi,calibration_scale_095,cyclic_adjacency,1428,0.0014429522847777963,0.9999994551423161,True
Dongsi,calibration_scale_105,sensor_noise_001,1428,0.015976877937115587,0.9998595747876563,False
Dongsi,calibration_scale_105,outage_6h_30d,1420,0.05103296621431567,0.9985904662614409,False
Dongsi,calibration_scale_105,outage_24h_90d,1411,0.005952396826209284,0.9999807696317347,False
Dongsi,calibration_scale_105,day_order_swap_010,1426,0.31500142326365527,0.9446060795970485,False
Dongsi,calibration_scale_105,cyclic_adjacency,1428,0.0013427726008123642,0.9999995444541887,True
Dongsi,sensor_noise_001,outage_6h_30d,1420,0.05329264043995166,0.9984680408952962,False
Dongsi,sensor_noise_001,outage_24h_90d,1411,0.01733272481107253,0.9998349333498544,False
Dongsi,sensor_noise_001,day_order_swap_010,1426,0.31651018252896346,0.9441828626554022,False
Dongsi,sensor_noise_001,cyclic_adjacency,1428,0.015804576818548383,0.9998645485759832,False
Dongsi,outage_6h_30d,outage_24h_90d,1407,0.03264549134881072,0.9994497269757003,False
Dongsi,outage_6h_30d,day_order_swap_010,1418,0.3140765121730189,0.9446622191545666,False
Dongsi,outage_6h_30d,cyclic_adjacency,1420,0.050772895092219356,0.9985957798512772,False
Dongsi,outage_24h_90d,day_order_swap_010,1409,0.31289658228711414,0.9450421492995834,False
Dongsi,outage_24h_90d,cyclic_adjacency,1411,0.005798616360370987,0.9999812493438517,False
Dongsi,day_order_swap_010,cyclic_adjacency,1426,0.3148902884340402,0.9445976142940143,False
Guanyuan,baseline,calibration_scale_095,1437,0.0007964519898920869,0.9999997622506115,True
Guanyuan,baseline,calibration_scale_105,1437,0.0009237903661497966,0.9999998030473656,True
Guanyuan,baseline,sensor_noise_001,1437,0.012541760414671251,0.9999153107876091,False
Guanyuan,baseline,outage_6h_30d,1429,0.05616176883981414,0.9980279961771639,False
Guanyuan,baseline,outage_24h_90d,1420,0.010752589041848,0.999932650798669,False
Guanyuan,baseline,day_order_swap_010,1436,0.3262682286018576,0.9335671548064277,False
Guanyuan,baseline,cyclic_adjacency,1437,0.0,1.0,True
Guanyuan,calibration_scale_095,calibration_scale_105,1437,0.0016744507778672336,0.9999991325162588,True
Guanyuan,calibration_scale_095,sensor_noise_001,1437,0.012649302804727475,0.9999155265750289,False
Guanyuan,calibration_scale_095,outage_6h_30d,1429,0.05615326991497719,0.9980278252269499,False
Guanyuan,calibration_scale_095,outage_24h_90d,1420,0.010721731085078392,0.9999318004284297,False
Guanyuan,calibration_scale_095,day_order_swap_010,1436,0.3261980268904995,0.9335834991024137,False
Guanyuan,calibration_scale_095,cyclic_adjacency,1437,0.0007964519898920869,0.9999997622506115,True
Guanyuan,calibration_scale_105,sensor_noise_001,1437,0.01235197266151245,0.9999147009594754,False
Guanyuan,calibration_scale_105,outage_6h_30d,1429,0.056187086899879245,0.9980277360706062,False
Guanyuan,calibration_scale_105,outage_24h_90d,1420,0.010815016148276296,0.9999330118151708,False
Guanyuan,calibration_scale_105,day_order_swap_010,1436,0.32641187715460956,0.9335518616679915,False
Guanyuan,calibration_scale_105,cyclic_adjacency,1437,0.0009237903661497966,0.9999998030473656,True
Guanyuan,sensor_noise_001,outage_6h_30d,1429,0.05758137485061283,0.9979458245030867,False
Guanyuan,sensor_noise_001,outage_24h_90d,1420,0.015568014260322133,0.9998664017353756,False
Guanyuan,sensor_noise_001,day_order_swap_010,1436,0.32713687638878086,0.9335491693903888,False
Guanyuan,sensor_noise_001,cyclic_adjacency,1437,0.012541760414671251,0.9999153107876091,False
Guanyuan,outage_6h_30d,outage_24h_90d,1415,0.029329609779874984,0.9994603205874043,False
Guanyuan,outage_6h_30d,day_order_swap_010,1428,0.3295264748272897,0.9321942053854881,False
Guanyuan,outage_6h_30d,cyclic_adjacency,1429,0.05616176883981414,0.9980279961771639,False
Guanyuan,outage_24h_90d,day_order_swap_010,1419,0.3263071907193417,0.9333228903343788,False
Guanyuan,outage_24h_90d,cyclic_adjacency,1420,0.010752589041848,0.9999326507986689,False
Guanyuan,day_order_swap_010,cyclic_adjacency,1436,0.3262682286018576,0.9335671548064277,False
Gucheng,baseline,calibration_scale_095,1434,0.0011894054022139017,0.9999997009721912,True
Gucheng,baseline,calibration_scale_105,1434,0.0010835871970647747,0.9999997520909306,True
Gucheng,baseline,sensor_noise_001,1434,0.016176716378090403,0.999878280203537,False
Gucheng,baseline,outage_6h_30d,1425,0.053999128954109875,0.9983916303276512,False
Gucheng,baseline,outage_24h_90d,1417,0.015285614063646846,0.9999155877553202,False
Gucheng,baseline,day_order_swap_010,1433,0.31925322971205694,0.9432263011160967,False
Gucheng,baseline,cyclic_adjacency,1434,0.0,1.0,True
Gucheng,calibration_scale_095,calibration_scale_105,1434,0.0022729914805509656,0.9999989085227404,True
Gucheng,calibration_scale_095,sensor_noise_001,1434,0.01640339572103268,0.9998796426128802,False
Gucheng,calibration_scale_095,outage_6h_30d,1425,0.053850931016405285,0.9983920038716112,False
Gucheng,calibration_scale_095,outage_24h_90d,1417,0.015676582047149373,0.9999150886757338,False
Gucheng,calibration_scale_095,day_order_swap_010,1433,0.3191670729211777,0.9432131298736904,False
Gucheng,calibration_scale_095,cyclic_adjacency,1434,0.0011894054022139017,0.9999997009721912,True
Gucheng,calibration_scale_105,sensor_noise_001,1434,0.01604472558448402,0.9998765140022944,False
Gucheng,calibration_scale_105,outage_6h_30d,1425,0.054156595371102366,0.9983907659494171,False
Gucheng,calibration_scale_105,outage_24h_90d,1417,0.015002019363067987,0.9999155186955773,False
Gucheng,calibration_scale_105,day_order_swap_010,1433,0.3193355256094344,0.9432378038611767,False
Gucheng,calibration_scale_105,cyclic_adjacency,1434,0.0010835871970647747,0.9999997520909306,True
Gucheng,sensor_noise_001,outage_6h_30d,1425,0.05765221544446517,0.9982417198244973,False
Gucheng,sensor_noise_001,outage_24h_90d,1417,0.019410670663553346,0.9997970699581447,False
Gucheng,sensor_noise_001,day_order_swap_010,1433,0.32113051787642016,0.9429687361254692,False
Gucheng,sensor_noise_001,cyclic_adjacency,1434,0.016176716378090403,0.9998782802035371,False
Gucheng,outage_6h_30d,outage_24h_90d,1412,0.037131402849471334,0.9993546561530982,False
Gucheng,outage_6h_30d,day_order_swap_010,1424,0.3236271588338955,0.9411338251759078,False
Gucheng,outage_6h_30d,cyclic_adjacency,1425,0.053999128954109875,0.9983916303276512,False
Gucheng,outage_24h_90d,day_order_swap_010,1416,0.32290162275117357,0.9421191703220291,False
Gucheng,outage_24h_90d,cyclic_adjacency,1417,0.015285614063646846,0.9999155877553201,False
Gucheng,day_order_swap_010,cyclic_adjacency,1433,0.31925322971205694,0.9432263011160967,False
Huairou,baseline,calibration_scale_095,1420,0.0013140467568047538,0.9999994098212805,True
Huairou,baseline,calibration_scale_105,1420,0.0012221603940934082,0.9999995068201223,True
Huairou,baseline,sensor_noise_001,1420,0.014822817433098292,0.9998687475021247,False
Huairou,baseline,outage_6h_30d,1411,0.048433416900310826,0.9985780638765582,False
Huairou,baseline,outage_24h_90d,1403,0.013524366840891625,0.9999401163298645,False
Huairou,baseline,day_order_swap_010,1417,0.34584487408186715,0.9248451348602088,False
Huairou,baseline,cyclic_adjacency,1420,0.0,1.0,True
Huairou,calibration_scale_095,calibration_scale_105,1420,0.0025358870865183443,0.9999978376455905,True
Huairou,calibration_scale_095,sensor_noise_001,1420,0.014637467094340008,0.9998742013353141,False
Huairou,calibration_scale_095,outage_6h_30d,1411,0.0485609037806417,0.9985797337020648,False
Huairou,calibration_scale_095,outage_24h_90d,1403,0.013923394443864812,0.9999403193878117,False
Huairou,calibration_scale_095,day_order_swap_010,1417,0.3457577442845863,0.9248334993536341,False
