family_id,target_channel,parent_count,median_effect,direction_recovery_probability,wilson_95_low,wilson_95_high,interpretation
P01,neighbor_coherence,1,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P01,neighbor_coherence,2,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P01,neighbor_coherence,4,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P01,neighbor_coherence,6,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P01,neighbor_coherence,8,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P01,neighbor_coherence,12,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P01,neighbor_coherence,20,0.9294853633881932,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,1,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,2,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,4,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,6,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,8,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,12,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P02,spectral_concentration,20,0.8001444081674195,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,1,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,2,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,4,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,6,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,8,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,12,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P03,curl_coherence,20,0.9637358618062769,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,1,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,2,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,4,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,6,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,8,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,12,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
P04,curl_coherence,20,0.870159004700763,1.0,0.996173241514445,1.0,SYNTHETIC_CHANNEL_DIRECTION_NOT_UNIVERSAL_TLD_POWER
