station,N,closure_error,winner
Aotizhongxin,4,1.4549327384471626,False
Aotizhongxin,5,1.425742317103347,False
Aotizhongxin,6,1.4126249437117562,False
Aotizhongxin,7,1.4034939173515486,False
Aotizhongxin,8,1.3845388447388112,False
Aotizhongxin,9,1.3806425798184407,False
Aotizhongxin,10,1.3921679674222156,False
Aotizhongxin,11,1.3939288137290942,False
Aotizhongxin,12,1.4043533668105648,False
Aotizhongxin,13,1.405040760514547,False
Aotizhongxin,14,1.3787576617940094,False
Aotizhongxin,15,1.3755755033564812,True
Aotizhongxin,16,1.42585021901847,False
Aotizhongxin,17,1.4337125117778005,False
Aotizhongxin,18,1.4322388258484355,False
Aotizhongxin,19,1.407065172356508,False
Aotizhongxin,20,1.4145644938568789,False
Changping,4,1.4501263738751062,False
Changping,5,1.414799796382606,False
Changping,6,1.4144950261211315,False
Changping,7,1.413548934081596,False
Changping,8,1.3984295843960075,False
Changping,9,1.3848381967824315,False
Changping,10,1.387913392593618,False
Changping,11,1.3857337319665168,False
Changping,12,1.3774542661403404,False
Changping,13,1.3848541197585775,False
Changping,14,1.3744509710762247,True
Changping,15,1.3887065334144928,False
Changping,16,1.4281322899756996,False
Changping,17,1.4311585342375215,False
Changping,18,1.4257011625984728,False
Changping,19,1.4170385283497797,False
Changping,20,1.4174995241018609,False
Dingling,4,1.4373595796274485,False
Dingling,5,1.4137623926721077,False
Dingling,6,1.4050073734991573,False
Dingling,7,1.4046755825000903,False
Dingling,8,1.38779197699677,False
Dingling,9,1.3815388573011598,True
Dingling,10,1.3922614440172467,False
Dingling,11,1.4018197531130085,False
Dingling,12,1.3987541181686087,False
Dingling,13,1.4004678049678672,False
Dingling,14,1.3913905097232833,False
Dingling,15,1.3895535508244423,False
Dingling,16,1.4180182331212463,False
Dingling,17,1.4330705040888856,False
Dingling,18,1.422879941898543,False
Dingling,19,1.401898318316763,False
Dingling,20,1.4028069073004021,False
Dongsi,4,1.427798134759238,False
Dongsi,5,1.405350855756365,False
Dongsi,6,1.3964929918991118,False
Dongsi,7,1.3922340382621055,False
Dongsi,8,1.365963634080235,False
Dongsi,9,1.3504490409970098,True
Dongsi,10,1.3773743000811525,False
Dongsi,11,1.3844321463298126,False
Dongsi,12,1.387554643182456,False
Dongsi,13,1.4041296791228672,False
Dongsi,14,1.3809316630920652,False
Dongsi,15,1.3577022169928952,False
Dongsi,16,1.398044594470419,False
Dongsi,17,1.4137946457279464,False
Dongsi,18,1.4144738696613834,False
Dongsi,19,1.39736929385489,False
Dongsi,20,1.4028754449550003,False
Guanyuan,4,1.4488990096130492,False
Guanyuan,5,1.4162009644233644,False
Guanyuan,6,1.4108216105770826,False
Guanyuan,7,1.413934635077175,False
Guanyuan,8,1.391620351163166,False
Guanyuan,9,1.3701745991672525,True
Guanyuan,10,1.3892240850934416,False
Guanyuan,11,1.3928520471449821,False
Guanyuan,12,1.3990168323313374,False
Guanyuan,13,1.4062760038114712,False
Guanyuan,14,1.390441552305252,False
Guanyuan,15,1.3795210939402418,False
Guanyuan,16,1.4181397470751085,False
Guanyuan,17,1.424116219921078,False
Guanyuan,18,1.416134896078618,False
Guanyuan,19,1.3992667387121844,False
Guanyuan,20,1.4089226549192788,False
Gucheng,4,1.4282447573858759,False
Gucheng,5,1.410605788516397,False
Gucheng,6,1.4101148021373888,False
Gucheng,7,1.4114241665698901,False
Gucheng,8,1.3889670484591377,False
Gucheng,9,1.3739740214340037,True
Gucheng,10,1.3876741088068205,False
Gucheng,11,1.397386805537642,False
Gucheng,12,1.4047964741871823,False
Gucheng,13,1.4097416932592808,False
Gucheng,14,1.385244635963254,False
Gucheng,15,1.3908566238438484,False
Gucheng,16,1.431289303781182,False
Gucheng,17,1.427976172796687,False
Gucheng,18,1.4175239555120354,False
Gucheng,19,1.4026003385473031,False
Gucheng,20,1.413508333378161,False
Huairou,4,1.4279317849766269,False
Huairou,5,1.4179623900769158,False
Huairou,6,1.4041807538071165,False
Huairou,7,1.4037466275628938,False
Huairou,8,1.3789460559385345,True
Huairou,9,1.378991547476954,False
Huairou,10,1.395327112957609,False
Huairou,11,1.39634552599679,False
Huairou,12,1.393775819723818,False
Huairou,13,1.3986647088269326,False
Huairou,14,1.390459660297813,False
Huairou,15,1.384359290172313,False
Huairou,16,1.4071517332938293,False
Huairou,17,1.4345881841707417,False
Huairou,18,1.428123998461243,False
Huairou,19,1.4219911350203596,False
Huairou,20,1.416953448911872,False
Nongzhanguan,4,1.4348066671845177,False
Nongzhanguan,5,1.41516253433502,False
Nongzhanguan,6,1.4097173476469502,False
Nongzhanguan,7,1.4026473261805585,False
Nongzhanguan,8,1.3801240788812024,False
Nongzhanguan,9,1.3554834988989068,True
Nongzhanguan,10,1.375844838386276,False
Nongzhanguan,11,1.391683861010366,False
Nongzhanguan,12,1.4002380842247917,False
Nongzhanguan,13,1.4085792674834379,False
Nongzhanguan,14,1.3824173995528417,False
Nongzhanguan,15,1.3776522698538591,False
Nongzhanguan,16,1.41901644860133,False
Nongzhanguan,17,1.4259326246794124,False
Nongzhanguan,18,1.4118655395233508,False
Nongzhanguan,19,1.4013142389403768,False
Nongzhanguan,20,1.4161034924220819,False
Shunyi,4,1.4347283888519362,False
Shunyi,5,1.420179256848866,False
Shunyi,6,1.4028790138101774,False
Shunyi,7,1.3929154264078545,False
Shunyi,8,1.3648411571496504,False
Shunyi,9,1.358678764922144,True
Shunyi,10,1.3812388649727458,False
Shunyi,11,1.3924389916801594,False
Shunyi,12,1.3935514397970465,False
Shunyi,13,1.3972186333823284,False
