parent_count,nested_replicates,ICC,effect_size,heterogeneity,missingness,projection_disagreement,multiple_testing_family_size,estimated_rejection_probability,simulation_replicates
1,10,0.3,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.0,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,0.4,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,0.4,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,0.4,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.4,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,0.8,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,0.8,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.8,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,1.2,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,1.2,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,1.2,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,1.2,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,0.0,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,0.0,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.0,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,0.4,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,0.4,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,0.4,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.4,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,0.8,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,0.8,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.8,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,1.2,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,1.2,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,1.2,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,1.2,0.0,0.2,0.15,6,0.0,2500
1,10,0.9,0.0,0.0,0.0,0.0,1,0.0,2500
1,10,0.9,0.0,0.4,0.0,0.0,1,0.0,2500
1,10,0.9,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.9,0.0,0.0,0.2,0.15,6,0.0,2500
1,10,0.9,0.4,0.0,0.0,0.0,1,0.0,2500
1,10,0.9,0.4,0.4,0.0,0.0,1,0.0,2500
1,10,0.9,0.4,0.4,0.2,0.15,3,0.0,2500
1,10,0.9,0.4,0.0,0.2,0.15,6,0.0,2500
1,10,0.9,0.8,0.0,0.0,0.0,1,0.0,2500
1,10,0.9,0.8,0.4,0.0,0.0,1,0.0,2500
1,10,0.9,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.9,0.8,0.0,0.2,0.15,6,0.0,2500
1,10,0.9,1.2,0.0,0.0,0.0,1,0.0,2500
1,10,0.9,1.2,0.4,0.0,0.0,1,0.0,2500
1,10,0.9,1.2,0.4,0.2,0.15,3,0.0,2500
1,10,0.9,1.2,0.0,0.2,0.15,6,0.0,2500
2,1,0.0,0.0,0.0,0.0,0.0,1,0.2996,2500
2,1,0.0,0.0,0.4,0.0,0.0,1,0.3084,2500
2,1,0.0,0.0,0.4,0.2,0.15,3,0.1676,2500
2,1,0.0,0.0,0.0,0.2,0.15,6,0.1468,2500
2,1,0.0,0.4,0.0,0.0,0.0,1,0.3272,2500
2,1,0.0,0.4,0.4,0.0,0.0,1,0.336,2500
2,1,0.0,0.4,0.4,0.2,0.15,3,0.1812,2500
2,1,0.0,0.4,0.0,0.2,0.15,6,0.1524,2500
2,1,0.0,0.8,0.0,0.0,0.0,1,0.426,2500
2,1,0.0,0.8,0.4,0.0,0.0,1,0.4344,2500
2,1,0.0,0.8,0.4,0.2,0.15,3,0.1948,2500
2,1,0.0,0.8,0.0,0.2,0.15,6,0.174,2500
2,1,0.0,1.2,0.0,0.0,0.0,1,0.5556,2500
2,1,0.0,1.2,0.4,0.0,0.0,1,0.5516,2500
2,1,0.0,1.2,0.4,0.2,0.15,3,0.2292,2500
2,1,0.0,1.2,0.0,0.2,0.15,6,0.2288,2500
2,1,0.3,0.0,0.0,0.0,0.0,1,0.2988,2500
2,1,0.3,0.0,0.4,0.0,0.0,1,0.3036,2500
2,1,0.3,0.0,0.4,0.2,0.15,3,0.1592,2500
2,1,0.3,0.0,0.0,0.2,0.15,6,0.162,2500
2,1,0.3,0.4,0.0,0.0,0.0,1,0.3196,2500
2,1,0.3,0.4,0.4,0.0,0.0,1,0.34,2500
2,1,0.3,0.4,0.4,0.2,0.15,3,0.1596,2500
2,1,0.3,0.4,0.0,0.2,0.15,6,0.156,2500
2,1,0.3,0.8,0.0,0.0,0.0,1,0.4496,2500
2,1,0.3,0.8,0.4,0.0,0.0,1,0.4196,2500
2,1,0.3,0.8,0.4,0.2,0.15,3,0.1836,2500
2,1,0.3,0.8,0.0,0.2,0.15,6,0.2016,2500
2,1,0.3,1.2,0.0,0.0,0.0,1,0.566,2500
2,1,0.3,1.2,0.4,0.0,0.0,1,0.5528,2500
2,1,0.3,1.2,0.4,0.2,0.15,3,0.242,2500
2,1,0.3,1.2,0.0,0.2,0.15,6,0.2332,2500
2,1,0.6,0.0,0.0,0.0,0.0,1,0.3172,2500
2,1,0.6,0.0,0.4,0.0,0.0,1,0.3008,2500
2,1,0.6,0.0,0.4,0.2,0.15,3,0.152,2500
2,1,0.6,0.0,0.0,0.2,0.15,6,0.1456,2500
2,1,0.6,0.4,0.0,0.0,0.0,1,0.3332,2500
2,1,0.6,0.4,0.4,0.0,0.0,1,0.3484,2500
2,1,0.6,0.4,0.4,0.2,0.15,3,0.18,2500
2,1,0.6,0.4,0.0,0.2,0.15,6,0.1496,2500
2,1,0.6,0.8,0.0,0.0,0.0,1,0.4484,2500
2,1,0.6,0.8,0.4,0.0,0.0,1,0.4176,2500
2,1,0.6,0.8,0.4,0.2,0.15,3,0.208,2500
2,1,0.6,0.8,0.0,0.2,0.15,6,0.1796,2500
2,1,0.6,1.2,0.0,0.0,0.0,1,0.5668,2500
2,1,0.6,1.2,0.4,0.0,0.0,1,0.546,2500
2,1,0.6,1.2,0.4,0.2,0.15,3,0.2264,2500
2,1,0.6,1.2,0.0,0.2,0.15,6,0.246,2500
2,1,0.9,0.0,0.0,0.0,0.0,1,0.2908,2500
2,1,0.9,0.0,0.4,0.0,0.0,1,0.3012,2500
2,1,0.9,0.0,0.4,0.2,0.15,3,0.1656,2500
2,1,0.9,0.0,0.0,0.2,0.15,6,0.1432,2500
2,1,0.9,0.4,0.0,0.0,0.0,1,0.3292,2500
2,1,0.9,0.4,0.4,0.0,0.0,1,0.3368,2500
2,1,0.9,0.4,0.4,0.2,0.15,3,0.1684,2500
2,1,0.9,0.4,0.0,0.2,0.15,6,0.156,2500
2,1,0.9,0.8,0.0,0.0,0.0,1,0.456,2500
2,1,0.9,0.8,0.4,0.0,0.0,1,0.4236,2500
